start_time,end_time,duration,text
0.12,2.92,2.80,"Okay, so why were AI agents inevitable?"
3.02,4.28,1.26,2017.
5.44,6.56,1.12,Google drops this paper.
7.08,8.40,1.32,Attention is all you need.
8.96,9.96,1.00,And here's what's wild.
10.54,12.22,1.68,This wasn't just another research paper.
12.78,14.06,1.28,This was the first domino.
14.72,15.82,1.10,And nobody saw it coming.
16.60,19.06,2.46,Because what happened next wasn't planned.
20.34,22.64,2.30,Each breakthrough unlocked something incredible.
23.32,25.84,2.52,That incredible thing immediately slammed into a wall
26.06,29.12,3.06,and hitting that wall forced someone
29.24,31.96,2.72,"to invent the next breakthrough, like dominoes falling."
32.82,33.88,1.06,Except nobody set them up.
33.90,36.28,2.38,They just fell.
37.32,39.28,1.96,"One after another, unstoppable."
40.44,41.02,0.58,Seven years.
41.90,45.12,3.22,That's all it took from that paper to AI agents
45.22,47.18,1.96,that can reason and plan like humans.
48.30,49.98,1.68,"Not because anyone designed it that way,"
50.76,52.78,2.02,because each limitation left no other choice.
53.46,54.86,1.40,The chain was inevitable.
56.06,57.28,1.22,Let me show you how it happened.
57.76,61.80,4.04,"The foundation, how attention actually works, transformers,"
62.50,65.76,3.26,"the innovation that started everything, the key idea,"
66.86,68.60,1.74,"generate text one word at a time,"
68.88,71.66,2.78,"left to right, each word only knows what came before it."
72.84,73.86,1.02,Never what comes after.
75.02,76.94,1.92,This is called auto regressive generation
77.08,79.84,2.76,"and it sounds simple, but it unlocked everything."
80.70,82.98,2.28,Inside the decoder sits the attention mechanism.
83.30,86.62,3.32,"And this, this is what we need to understand."
87.52,90.02,2.50,Because everything that came after builds on this one idea.
90.62,92.92,2.30,Watch what happens when the model generates the sentence.
93.96,95.18,1.22,The cat sat on the mat.
95.56,96.50,0.94,We're at the last word.
96.50,98.42,1.92,The model needs to predict mat.
99.48,100.68,1.20,"But to predict it accurately,"
100.68,103.10,2.42,it needs to know which previous words actually matter.
104.00,104.92,0.92,Is cat important?
105.22,105.79,0.57,Probably not.
105.79,106.68,0.89,Is on important?
107.26,107.50,0.24,Very.
108.14,109.24,1.10,That's what attention solves.
109.46,112.28,2.82,It lets the model look at every previous word and decide.
113.24,115.72,2.48,How relevant is this word to what I'm generating right now?
116.92,117.60,0.68,Here's how it works.
117.92,120.28,2.36,"For every word, the model computes three things."
121.64,121.96,0.32,Query.
123.22,124.08,0.86,What am I looking for?
125.22,128.36,3.14,"The current word asking what context it needs, key."
129.36,130.10,0.74,What do I represent?
131.34,134.14,2.80,"Every previous word advertising what it contains, value."
135.24,136.10,0.86,Here's what I'll contribute.
136.22,138.38,2.16,The actual information each word carries.
139.00,139.54,0.54,Now the math.
140.48,142.18,1.70,Take the query and compare it to every key.
142.18,143.82,1.64,This gives you similarity scores.
144.96,146.88,1.92,Turn those scores into weights that sum to one.
147.74,151.52,3.78,"Finally, use those weights to mix together all the values."
152.28,154.28,2.00,Words you paid more attention to contribute more.
154.90,156.36,1.46,Words you ignored contribute less.
156.86,157.48,0.62,That's your output.
157.54,159.62,2.08,A weighted blend of all previous words.
161.12,162.36,1.24,Now watch what actually happens.
